,dt_hour,PM25_ugm3_Mean,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,season_Autumn,season_Spring,season_Summer,season_Winter
70768,2015-11-09 2:00,0.595304598,-4.618,34.98258621,930.2068966,29.0,170,0,0,0,1
70769,2015-11-09 3:00,0.5397643679999999,-4.20562069,34.70637931,929.3103447999999,29.0,170,0,0,0,1
70770,2015-11-09 4:00,0.33622413799999995,-3.559327586,34.5562069,928.2413793,29.0,180,0,0,0,1
70771,2015-11-09 5:00,0.354885057,-3.15187931,34.69982759,927.8793103,34.0,160,0,0,0,1
70772,2015-11-09 6:00,0.397517241,-2.8753965519999998,34.71310345,927.0172413999999,31.0,170,0,0,0,1
70773,2015-11-09 7:00,0.392229885,-1.925241379,34.28913793,926.0,22.0,190,0,0,0,1
70774,2015-11-09 8:00,0.38362069,-2.482189655,34.33327586,926.0,27.0,160,0,0,0,1
70775,2015-11-09 9:00,0.457844828,-1.811827586,34.64103448,925.1551724,25.0,160,0,0,0,1
70776,2015-11-09 10:00,0.564183908,-1.349137931,34.49224138,924.0344828,30.0,160,0,0,0,1
70777,2015-11-09 11:00,0.5325747129999999,0.050189655,34.12775862,923.2758620999999,21.0,140,0,0,0,1
70778,2015-11-09 12:00,0.558425287,1.5641379309999999,33.923793100000005,922.5689654999999,22.0,160,0,0,0,1
70779,2015-11-09 13:00,0.38075287399999996,3.7504137930000003,33.423793100000005,921.3275861999999,22.0,160,0,0,0,1
70780,2015-11-09 14:00,0.415706897,5.13937931,33.33741379,921.0,23.0,130,0,0,0,1
70781,2015-11-09 15:00,0.302666667,5.571586207,33.12758621,920.4482759,20.0,130,0,0,0,1
70782,2015-11-09 16:00,0.538310345,2.4168448280000003,34.21706897,920.0,22.0,140,0,0,0,1
70783,2015-11-09 17:00,0.5665689660000001,1.079551724,33.98706897,920.0,15.0,140,0,0,0,1
70784,2015-11-09 18:00,1.8961149430000002,0.15837931,34.0,920.0,14.0,160,0,0,0,1
70785,2015-11-09 19:00,2.210695402,-0.21406896600000003,34.34206897,920.1896552000001,9.0,240,0,0,0,1
70786,2015-11-09 20:00,3.4242528739999996,-1.121258621,34.29603448,921.0,7.0,10,0,0,0,1
70787,2015-11-09 21:00,10.99396552,-2.394086207,34.07482759,921.0,4.0,320,0,0,0,1
70788,2015-11-09 22:00,10.69,-3.4105,34.88948276,921.2068966,2.0,360,0,0,0,1
70789,2015-11-09 23:00,11.98804598,-3.178603448,33.84482759,921.5344828,9.0,360,0,0,0,1
70790,2015-11-10 0:00,5.747701149,-2.8353275860000005,34.00120689999999,922.0,17.0,330,0,0,0,1
70791,2015-11-10 1:00,12.18890805,-3.2291724139999998,34.18086207,921.4310345000001,7.0,310,0,0,0,1
70792,2015-11-10 2:00,5.63862069,-3.9289310339999997,34.18241379,921.0,0.0,0,0,0,0,1
70793,2015-11-10 3:00,6.615344828,-5.012862069,34.25586207,920.3620689999999,7.0,310,0,0,0,1
70794,2015-11-10 4:00,6.491321838999999,-7.2441724139999994,34.68706897,919.6724138000001,1.0,360,0,0,0,1
