,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
117,2.182505747,1.760760271,0
118,1.120212644,1.082995213,0
119,0.988494253,1.047193211,0
120,1.078551724,1.073319935,0
121,0.762448276,0.844977962,0
122,0.778252874,0.873686074,0
123,0.976074713,0.949613445,1
124,0.706425287,0.833270937,0
125,0.366396552,0.5121583,0
126,0.325178161,0.522323204,0
127,0.472206897,0.598460191,0
128,0.437252874,0.541326119,0
129,0.572298851,0.621979147,0
130,0.608206897,0.687287348,2
131,0.385528736,0.47184468,1
132,0.370218391,0.495094482,0
133,0.66954023,0.716523446,0
134,0.644172414,0.609715326,1
135,0.473678161,0.529511179,1
136,0.559867816,0.596543766,0
137,0.53783908,0.559550205,0
138,0.950195402,0.830966007,0
139,1.34433908,1.062050198,0
140,2.545873563,1.788753035,1
141,2.454694444,1.733550591,2
142,1.978333333,1.486832574,3
143,2.423729885,1.761435909,3
144,1.480867816,1.194708683,1
145,1.110149425,0.950790081,1
146,0.899425287,0.806537552,1
147,1.035442529,0.925952784,2
148,1.091471264,0.969913909,1
149,0.499022989,0.597031324,0
150,0.883609195,0.858670396,0
151,1.55562069,1.216622706,1
152,1.302655172,1.131895315,2
153,1.394672414,1.182688273,1
154,1.029701149,0.911656625,1
155,2.769873563,2.021711927,1
156,1.602988506,1.289033629,1
157,1.285902299,1.109352485,1
158,1.108718391,0.999362894,1
159,1.193982759,1.118267066,1
160,1.497574713,1.242937486,2
161,1.066574713,0.987210062,1
162,1.261494253,1.115029279,0
163,1.57033908,1.31022762,1
164,1.311218391,1.164824338,1
165,1.141752874,1.055535877,0
166,1.144603448,1.127293026,1
167,1.337178161,1.194798494,2
168,1.760051724,1.49193933,0
169,1.481793103,1.281002899,1
170,1.11733908,1.070959312,3
171,1.269609195,1.211451712,3
172,1.429847953,1.30092852,2
173,1.947293103,1.610466051,1
174,1.22654023,1.187491733,0
175,2.69154023,2.07843942,3
176,5.013086207,3.44350387,4
177,9.428448276,6.172257465,6
178,6.695,4.480004452,5
179,4.830672414,3.36494751,5
180,2.122028736,1.744870773,3
181,3.967545977,2.848422552,1
182,2.516718391,1.948766609,2
183,3.919522989,2.825763816,2
184,12.10258621,7.797565454,7
185,13.57195402,8.682450019,10
186,2.587057471,2.019745618,5
187,13.61321839,8.719477634,12
188,3.246649425,2.426417518,7
189,9.627758621,6.29810856,4
190,52.77247126,32.46742545,31
191,15.66672414,9.950383448,5
192,21.35321839,13.3871195,9
193,21.68457627,13.59031133,13
194,20.60943503,12.955487,14
195,19.6966092,12.40224151,13
196,9.447758621,6.178444649,7
197,12.41005747,7.963647972,7
198,10.79201149,6.962227757,5
199,15.7095977,9.944679758,14
200,19.19867816,12.07222235,10
201,16.63735632,10.53265217,7
202,14.28471264,9.090508285,7
203,15.49902299,9.830505035,12
204,5.081781609,3.520871215,7
205,6.731781609,4.527633939,3
206,4.383908046,3.107490431,3
207,8.54408046,5.643823044,7
208,11.37166667,7.370183326,8
209,3.331005747,2.465305221,5
210,1.669074713,1.487936279,5
211,1.755275862,1.577060994,3
212,1.479873563,1.414657968,1
213,1.739454023,1.584954165,2
214,2.318028736,1.894756745,0
215,1.634545977,1.448544648,0
216,1.870906433,1.65291152,0
217,2.308454023,1.849029801,1
218,1.58045977,1.431990834,4
219,1.180551724,1.182922523,1
220,2.236551724,1.808135596,0
221,1.427183908,1.309121015,1
222,2.397965517,1.92252987,1
223,9.010172414,5.891759172,2
224,22.66936782,14.19221803,14
225,11.83436782,7.599418708,11
226,14.71775862,9.352926958,10
227,14.19687931,9.017539556,9
228,3.323293103,2.404695935,5
