Timestamp,NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Temperature,Relative_Humidity
2020-05-16 03:00:00,0.22533333333333333,2.831833333333334,3.057000000000001,27.748666666666665,7.786,2.4171666666666654,5.368166666666667,9.110166666666666,86.88399999999997
2020-05-16 04:00:00,0.5718333333333335,4.001,4.572166666666666,26.153666666666666,7.828833333333332,2.463833333333333,5.363833333333332,9.176499999999999,85.17733333333328
2020-05-16 05:00:00,0.8393333333333336,4.659999999999999,5.4995,25.05483333333332,8.452666666666666,2.764333333333332,5.688833333333334,9.042666666666667,84.08516666666667
2020-05-16 06:00:00,0.8743333333333333,4.042333333333333,4.9174999999999995,24.351333333333336,7.762833333333333,2.8859999999999997,4.877333333333335,9.658999999999999,82.09483333333333
2020-05-16 07:00:00,1.3456666666666663,3.718166666666666,5.0635,26.181499999999996,7.43116666666667,2.6383333333333336,4.793333333333332,13.422833333333324,67.867
2020-05-16 08:00:00,0.7214999999999999,2.7771666666666683,3.498666666666666,30.92733333333333,7.5865,3.308666666666667,4.2781666666666665,15.648833333333334,57.74450000000002
2020-05-16 09:00:00,0.5186666666666666,2.567166666666668,3.086666666666667,33.86683333333334,7.955333333333333,3.7295000000000007,4.225333333333334,16.418000000000003,54.950500000000005
2020-05-16 10:00:00,1.2094999999999996,4.064333333333333,5.232833333333333,30.652333333333342,9.881333333333336,4.714499999999999,5.168000000000002,16.602,54.24316666666669
2020-05-16 11:00:00,1.0486666666666666,4.1323333333333325,5.183333333333333,34.212500000000006,10.57533333333333,4.350999999999998,6.224833333333333,16.452999999999996,55.01833333333334
2020-05-16 12:00:00,0.7524999999999998,3.3341666666666683,4.087333333333333,35.81633333333335,10.690833333333336,4.3294999999999995,6.360166666666667,14.8475,59.87649999999999
2020-05-16 13:00:00,0.5613333333333332,2.612000000000001,3.1729999999999996,37.970000000000006,9.849666666666668,4.094333333333333,5.754333333333332,14.851333333333336,58.13250000000001
2020-05-16 14:00:00,0.8430000000000002,3.0673333333333344,3.910333333333333,40.776833333333315,10.538499999999999,4.458333333333334,6.081500000000001,15.902333333333335,54.26999999999998
2020-05-16 15:00:00,1.3859999999999997,4.407333333333335,5.440666666666667,40.739,11.238499999999998,4.774166666666668,6.4644999999999975,15.47666666666666,55.086166666666664
