Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m]
06/02/2020 00:00:42,19.60,34.89,1.9,2.6,2.9,49.25,1.423552,133.65,1.423164,99712.7,---,---,---
06/02/2020 00:01:41,19.59,34.69,1.8,2.5,2.7,46.93,1.423600,130.53,1.423186,99715.4,---,---,---
06/02/2020 00:02:41,19.61,34.54,1.9,2.4,2.6,45.86,1.423624,127.16,1.423211,99709.2,---,---,---
06/02/2020 00:03:41,19.64,34.85,1.9,2.5,2.7,43.87,1.423668,123.88,1.423236,99702.4,---,---,---
06/02/2020 00:04:41,19.66,34.49,1.9,2.5,2.7,43.61,1.423676,124.32,1.423234,99705.4,---,---,---
06/02/2020 00:05:41,19.66,34.11,1.9,2.5,2.7,42.65,1.423696,121.85,1.423252,99704.4,---,---,---
06/02/2020 00:06:41,19.67,35.72,1.8,2.6,2.8,43.82,1.423672,123.36,1.423241,99706.6,---,---,---
06/02/2020 00:07:41,19.67,34.18,1.8,2.7,3.0,43.29,1.423684,126.80,1.423217,99705.8,---,---,---
06/02/2020 00:08:41,19.66,35.09,1.8,2.6,2.9,44.56,1.423656,127.05,1.423214,99703.3,---,---,---
06/02/2020 00:09:41,19.67,34.85,1.7,2.6,2.9,43.66,1.423676,128.33,1.423205,99707.5,---,---,---
06/02/2020 00:10:41,19.69,34.42,1.8,2.7,3.0,44.70,1.423655,128.84,1.423202,99708.0,---,---,---
06/02/2020 00:11:42,19.71,35.09,1.9,2.7,3.0,43.14,1.423689,126.76,1.423218,99709.4,---,---,---
06/02/2020 00:12:41,19.72,35.59,1.8,2.6,2.7,41.97,1.423715,124.33,1.423236,99708.8,---,---,---
06/02/2020 00:13:41,19.72,35.26,1.9,2.7,2.9,41.83,1.423718,127.03,1.423217,99706.1,---,---,---
06/02/2020 00:14:41,19.72,35.05,2.0,2.7,2.8,41.45,1.423726,125.43,1.423229,99709.6,---,---,---
06/02/2020 00:15:41,19.73,35.01,2.0,2.6,2.8,42.36,1.423708,126.42,1.423222,99706.8,---,---,---
06/02/2020 00:16:41,19.74,34.78,2.0,2.8,3.0,41.27,1.423731,126.36,1.423223,99706.7,---,---,---
06/02/2020 00:17:41,19.74,34.02,2.0,2.7,2.9,41.74,1.423722,128.87,1.423205,99704.4,---,---,---
06/02/2020 00:18:41,19.74,35.26,1.9,2.6,2.8,41.69,1.423723,123.53,1.423243,99706.2,---,---,---
06/02/2020 00:19:41,19.74,35.59,1.9,2.6,2.8,43.48,1.423685,124.35,1.423237,99703.6,---,---,---
06/02/2020 00:20:41,19.74,34.69,1.9,2.6,2.8,41.59,1.423725,127.04,1.423218,99704.4,---,---,---
06/02/2020 00:21:41,19.73,34.02,1.8,2.4,2.7,42.60,1.423703,131.93,1.423182,99703.9,---,---,---
06/02/2020 00:22:42,19.74,34.97,1.8,2.4,2.7,43.27,1.423690,129.23,1.423202,99704.7,---,---,---
06/02/2020 00:23:41,19.74,34.58,1.9,2.5,2.8,41.73,1.423722,134.53,1.423164,99707.8,---,---,---
06/02/2020 00:24:41,19.75,34.93,1.9,2.5,2.8,41.30,1.423732,134.92,1.423161,99708.6,---,---,---
06/02/2020 00:25:41,19.77,35.07,1.9,2.5,2.8,42.84,1.423702,132.70,1.423178,99708.4,---,---,---
06/02/2020 00:26:41,19.79,34.99,1.9,2.6,2.8,41.50,1.423732,132.10,1.423184,99711.5,---,---,---
06/02/2020 00:27:41,19.79,34.44,2.0,2.6,2.9,41.01,1.423742,133.68,1.423172,99709.2,---,---,---
06/02/2020 00:28:41,19.80,34.91,1.9,2.6,2.9,41.28,1.423737,128.97,1.423207,99713.0,---,---,---
06/02/2020 00:29:41,19.79,36.07,2.0,2.6,2.8,41.88,1.423724,128.23,1.423212,99707.9,---,---,---
06/02/2020 00:30:41,19.80,34.95,1.9,2.5,2.7,42.27,1.423717,127.18,1.423220,99711.4,---,---,---
06/02/2020 00:31:41,19.80,35.30,1.9,2.5,2.7,42.84,1.423705,124.90,1.423236,99708.2,---,---,---
06/02/2020 00:32:41,19.80,35.34,1.9,2.6,2.7,43.79,1.423685,125.83,1.423230,99711.8,---,---,---
