dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-08 21:00,1.405678161,-6.787948276,34.79603448,934,25,170,23.4498688,8.666236387,0,0,0,1,2
2015-11-08 22:00,1.000488506,-6.907775862,35.52258621,933.1896552,30,180,-17.95380207,-24.03457907,0,0,0,1,0
2015-11-08 23:00,0.993298851,-6.191948276,34.96241379,932.637931,27,180,-16.15842186,-21.63112116,0,0,0,1,3
2015-11-09 0:00,0.885953216,-5.370561404,34.95315789,931.7017544,25,180,-14.96150173,-20.02881589,0,0,0,1,2
2015-11-09 1:00,0.703097701,-5.360206897,34.59051724,931,22,180,-13.16612152,-17.62535799,0,0,0,1,0
2015-11-09 2:00,0.595304598,-4.618,34.98258621,930.2068966,29,170,27.20184781,10.05283421,0,0,0,1,1
2015-11-09 3:00,0.539764368,-4.20562069,34.70637931,929.3103448,29,170,27.20184781,10.05283421,0,0,0,1,1
2015-11-09 4:00,0.336224138,-3.559327586,34.5562069,928.2413793,29,180,-17.355342,-23.23342644,0,0,0,1,0
2015-11-09 5:00,0.354885057,-3.15187931,34.69982759,927.8793103,34,160,-33.17139664,7.460458785,0,0,0,1,0
2015-11-09 6:00,0.397517241,-2.875396552,34.71310345,927.0172414,31,170,29.07783732,10.74613312,0,0,0,1,0
2015-11-09 7:00,0.392229885,-1.925241379,34.28913793,926,22,190,1.458750884,21.95158413,0,0,0,1,0
2015-11-09 8:00,0.38362069,-2.482189655,34.33327586,926,27,160,-26.34199145,5.924481976,0,0,0,1,0
2015-11-09 9:00,0.457844828,-1.811827586,34.64103448,925.1551724,25,160,-24.39073282,5.485631459,0,0,0,1,0
2015-11-09 10:00,0.564183908,-1.349137931,34.49224138,924.0344828,30,160,-29.26887938,6.582757751,0,0,0,1,0
2015-11-09 11:00,0.532574713,0.050189655,34.12775862,923.2758621,21,140,-4.154085054,20.58503285,0,0,0,1,0
2015-11-09 12:00,0.558425287,1.564137931,33.9237931,922.5689655,22,160,-21.46384488,4.827355684,0,0,0,1,0
2015-11-09 13:00,0.380752874,3.750413793,33.4237931,921.3275862,22,160,-21.46384488,4.827355684,0,0,0,1,1
2015-11-09 14:00,0.415706897,5.13937931,33.33741379,921,23,130,-8.4477006,-21.39243685,0,0,0,1,1
2015-11-09 15:00,0.302666667,5.571586207,33.12758621,920.4482759,20,130,-7.345826609,-18.602119,0,0,0,1,2
2015-11-09 16:00,0.538310345,2.416844828,34.21706897,920,22,140,-4.351898628,21.56527251,0,0,0,1,1
2015-11-09 17:00,0.566568966,1.079551724,33.98706897,920,15,140,-2.96720361,14.70359489,0,0,0,1,1
2015-11-09 18:00,1.896114943,0.15837931,34,920,14,160,-13.65881038,3.071953617,0,0,0,1,3
2015-11-09 19:00,2.210695402,-0.214068966,34.34206897,920.1896552,9,240,2.93203175,8.509006394,0,0,0,1,2
2015-11-09 20:00,3.424252874,-1.121258621,34.29603448,921,7,10,-5.873500704,-3.808147776,0,0,0,1,0
2015-11-09 21:00,10.99396552,-2.394086207,34.07482759,921,4,320,3.614820448,-1.712621712,0,0,0,1,5
2015-11-09 22:00,10.69,-3.4105,34.88948276,921.2068966,2,360,-0.567382183,1.917831447,0,0,0,1,5
2015-11-09 23:00,11.98804598,-3.178603448,33.84482759,921.5344828,9,360,-2.553219823,8.630241511,0,0,0,1,8
2015-11-10 0:00,5.747701149,-2.835327586,34.0012069,922,17,330,-16.85037997,-2.250487696,0,0,0,1,6
2015-11-10 1:00,12.18890805,-3.229172414,34.18086207,921.4310345,7,310,-3.67743347,5.956213821,0,0,0,1,7
2015-11-10 2:00,5.63862069,-3.928931034,34.18241379,921,0,0,0,0,0,0,0,1,6
2015-11-10 3:00,6.615344828,-5.012862069,34.25586207,920.362069,7,310,-3.67743347,5.956213821,0,0,0,1,4
2015-11-10 4:00,6.491321839,-7.244172414,34.68706897,919.6724138,1,360,-0.283691091,0.958915723,0,0,0,1,6
2015-11-10 5:00,10.57793103,-7.531672414,32.85086207,918.7758621,14,260,-10.2227182,9.565355853,0,0,0,1,5
2015-11-10 6:00,7.952988506,-7.462741379,33.81017241,918.1206897,3,310,-1.576042916,2.552663066,0,0,0,1,5
2015-11-10 7:00,10.4391954,-7.431189655,34.55327586,917.5172414,4,360,-1.134764366,3.835662894,0,0,0,1,11
