Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],NO2[ppb],Pressure[Pa],Airpointer_NO[ppb],Airpointer_NO2[ppb],Airpointer_NOx[ppb],Airpointer_O3[ppb],Airpointer_PM10_conc[ppb],Airpointer_PM10-2.5_conc[ppb],Airpointer_Air_Temperature[degC],Airpointer_Relative_Humidity[percent],Airpointer_PM2.5_conc[ppb]
2020-05-06 13:00:00,19.99,22.908888888888892,1.5555555555555554,2.222222222222222,2.3333333333333335,142.28333333333333,2573.472222222222,99264.8,1.4054999999999997,3.0923333333333343,4.498499999999999,39.43966666666665,14.80783333333334,10.762833333333333,12.164499999999995,29.069333333333354,4.045166666666667
2020-05-06 14:00:00,18.079123931623933,24.662430555555556,5.363942307692308,6.640384615384615,7.081677350427352,58.41542200854701,354.6304700854701,99265.04663461536,1.2351666666666667,2.7110000000000003,3.915166666666667,40.48916666666667,12.815500000000002,8.869666666666669,12.281333333333329,28.194666666666667,3.9443333333333332
2020-05-06 15:00:00,22.104888888888897,19.616055555555555,1.1894444444444439,1.9305555555555554,2.0900000000000003,52.15438888888891,158.82905555555556,99188.69888888889,1.483333333333333,3.9014999999999995,5.595000000000001,40.472333333333346,15.562333333333328,11.269999999999998,12.369499999999999,27.624166666666675,4.290666666666667
2020-05-06 16:00:00,21.898333333333326,19.096777777777778,1.1616666666666664,1.9749999999999996,2.187777777777777,52.661999999999985,135.23961111111112,99140.48,1.919,5.137333333333333,6.889833333333333,40.594000000000015,19.665999999999997,15.035500000000004,12.851333333333333,26.49699999999999,4.626499999999999
2020-05-06 17:00:00,21.83627777777778,18.67866666666666,1.4694444444444443,2.380555555555555,2.604444444444445,53.21383333333333,118.91194444444443,99111.33555555555,2.494166666666666,7.3936666666666655,9.502500000000001,39.20183333333334,21.422166666666662,16.256499999999996,12.170000000000003,27.646166666666666,5.165666666666668
2020-05-06 18:00:00,18.713166666666666,20.97988888888889,1.9144444444444442,2.970555555555556,3.246666666666666,53.44772222222224,98.45638888888887,99124.50444444445,1.459166666666667,10.763833333333334,12.1045,35.10733333333334,16.479,11.466000000000001,11.409,28.91233333333333,5.013333333333334
2020-05-06 19:00:00,15.544500000000001,24.716388888888897,2.207222222222222,3.3816666666666673,3.6661111111111118,53.151777777777795,91.42661111111113,99156.43055555556,0.4095000000000002,3.8081666666666667,4.2043333333333335,38.28433333333334,13.103500000000002,9.678500000000003,10.577666666666662,26.92033333333333,3.426166666666667
2020-05-06 20:00:00,14.085388888888891,23.61288888888889,1.320000000000001,1.8611111111111118,1.9911111111111115,49.789500000000004,74.30033333333331,99214.6011111111,0.31550000000000006,4.448666666666667,4.764666666666667,36.122499999999995,10.409333333333338,7.162833333333333,9.081999999999999,28.326833333333333,3.2440000000000007
2020-05-06 21:00:00,12.542277777777779,25.096333333333337,0.6883333333333335,1.1711111111111114,1.3077777777777777,49.59405555555554,67.63138888888888,99245.83666666667,0.3571666666666667,4.096666666666668,4.454333333333335,35.967499999999994,8.168333333333333,4.942999999999998,8.40633333333333,29.086166666666667,3.2251666666666665
2020-05-06 22:00:00,11.479055555555556,26.26511111111111,0.6177777777777779,1.1405555555555555,1.2716666666666665,50.41655555555556,68.246,99241.56666666665,0.5858333333333333,4.881833333333334,5.601666666666666,34.02083333333333,8.581666666666667,5.195333333333335,7.750000000000003,31.853333333333346,3.3861666666666665
2020-05-06 23:00:00,10.765166666666666,29.025000000000002,0.8405555555555555,1.474444444444444,1.6411111111111112,50.362944444444445,68.111,99209.44888888889,0.5236666666666666,6.5950000000000015,7.119000000000001,31.807333333333336,9.161833333333336,5.540166666666667,7.428166666666666,33.212333333333326,3.620499999999999
2020-05-07 00:00:00,10.059265536723165,30.771516949152538,1.1657721280602638,1.8747928436911485,2.07017890772128,50.0020461393597,68.12305461393596,99170.47807909602,-4999.428999999999,-4995.431166666666,-4995.361333333332,-4984.816333333336,9.188166666666666,5.419333333333332,6.546833333333331,35.4865,3.7696666666666663
2020-05-07 01:00:00,9.647731329690348,31.519321493624773,4.0486338797814225,4.996948998178507,5.289335154826958,49.89446083788706,65.24390255009106,99115.89961748634,0.46550000000000014,7.903833333333336,8.368833333333331,29.11583333333334,7.6656666666666675,3.9883333333333324,6.104166666666668,36.01733333333333,3.678
2020-05-07 02:00:00,9.12922222222222,32.29072222222222,7.115000000000001,8.696111111111112,9.382777777777777,50.383944444444445,64.40333333333335,99063.40333333334,0.5386666666666666,12.977166666666664,13.517166666666666,22.953166666666675,7.962666666666666,4.225833333333333,5.324166666666667,38.222333333333346,3.736166666666667
2020-05-07 03:00:00,8.283555555555557,34.34588888888889,6.602777777777775,8.591111111111111,8.88166666666667,49.93855555555555,67.38288888888889,99035.16222222224,0.2878333333333334,10.550500000000001,10.838499999999998,26.842833333333335,7.740833333333333,4.229000000000001,5.248666666666668,36.615166666666674,3.510166666666666
2020-05-07 04:00:00,8.139222222222221,32.471388888888896,6.336111111111111,8.262777777777778,8.51611111111111,49.60577777777778,65.12566666666666,99016.81555555556,1.2648333333333333,11.469500000000002,13.348000000000006,25.985333333333326,9.574666666666667,6.261833333333332,5.025166666666666,36.190000000000005,3.3126666666666664
2020-05-07 05:00:00,8.076166666666666,32.39849999999999,5.73,7.637222222222221,7.903888888888886,52.008111111111106,66.52566666666667,98984.61944444443,1.1580000000000004,12.378499999999999,13.536333333333339,26.836833333333335,11.397333333333329,7.845833333333332,6.039999999999998,33.58016666666667,3.5506666666666677
