Time,Relative_Humidity
2020-05-13 12:00:00,25.236
2020-05-13 13:00:00,28.565
2020-05-13 14:00:00,27.743
2020-05-13 15:00:00,25.959
2020-05-13 16:00:00,25.607
2020-05-13 17:00:00,25.709
2020-05-13 18:00:00,26.094
2020-05-13 19:00:00,27.288
2020-05-13 20:00:00,28.236
2020-05-13 21:00:00,31.681
2020-05-13 22:00:00,39.112
2020-05-13 23:00:00,42.110
2020-05-14 00:00:00,44.474
2020-05-14 01:00:00,45.640
2020-05-14 02:00:00,48.854
2020-05-14 03:00:00,47.790
2020-05-14 04:00:00,48.939
2020-05-14 05:00:00,54.069
2020-05-14 06:00:00,56.374
2020-05-14 07:00:00,54.323
2020-05-14 08:00:00,51.058
2020-05-14 09:00:00,39.816
2020-05-14 10:00:00,43.191
2020-05-14 11:00:00,49.513
2020-05-14 12:00:00,52.045
2020-05-14 13:00:00,47.767
2020-05-14 14:00:00,49.551
2020-05-14 15:00:00,51.122
2020-05-14 16:00:00,46.189
2020-05-14 17:00:00,60.514
2020-05-14 18:00:00,71.179
2020-05-14 19:00:00,80.958
2020-05-14 20:00:00,87.042
2020-05-14 21:00:00,87.963
2020-05-14 22:00:00,88.993
2020-05-14 23:00:00,87.848
2020-05-15 00:00:00,88.648
2020-05-15 01:00:00,89.062
2020-05-15 02:00:00,87.689
2020-05-15 03:00:00,88.217
2020-05-15 04:00:00,88.659
2020-05-15 05:00:00,88.125
2020-05-15 06:00:00,87.728
2020-05-15 07:00:00,88.566
2020-05-15 08:00:00,89.529
2020-05-15 09:00:00,89.639
2020-05-15 10:00:00,89.835
2020-05-15 11:00:00,90.694
2020-05-15 12:00:00,90.768
2020-05-15 13:00:00,88.007
2020-05-15 14:00:00,87.912
2020-05-15 15:00:00,83.028
2020-05-15 16:00:00,85.614
2020-05-15 17:00:00,81.576
2020-05-15 18:00:00,75.745
2020-05-15 19:00:00,74.408
2020-05-15 20:00:00,77.832
2020-05-15 21:00:00,80.630
2020-05-15 22:00:00,81.403
2020-05-15 23:00:00,81.693
2020-05-16 00:00:00,83.700
2020-05-16 01:00:00,86.655
2020-05-16 02:00:00,87.885
2020-05-16 03:00:00,86.670
2020-05-16 04:00:00,86.877
2020-05-16 05:00:00,85.143
2020-05-16 06:00:00,84.071
2020-05-16 07:00:00,81.958
2020-05-16 08:00:00,67.636
2020-05-16 09:00:00,57.610
2020-05-16 10:00:00,54.901
2020-05-16 11:00:00,54.313
2020-05-16 12:00:00,55.116
2020-05-16 13:00:00,59.838
2020-05-16 14:00:00,58.113
2020-05-16 15:00:00,54.220
2020-05-16 16:00:00,55.141
2020-05-16 17:00:00,57.791
2020-05-16 18:00:00,58.757
2020-05-16 19:00:00,62.533
2020-05-16 20:00:00,66.486
2020-05-16 21:00:00,67.271
2020-05-16 22:00:00,67.991
2020-05-16 23:00:00,70.827
2020-05-17 00:00:00,70.789
2020-05-17 01:00:00,71.739
2020-05-17 02:00:00,71.906
2020-05-17 03:00:00,72.134
2020-05-17 04:00:00,73.515
2020-05-17 05:00:00,74.655
2020-05-17 06:00:00,73.533
2020-05-17 07:00:00,68.541
2020-05-17 08:00:00,62.047
2020-05-17 09:00:00,56.461
2020-05-17 10:00:00,55.099
2020-05-17 11:00:00,54.704
2020-05-17 12:00:00,57.307
2020-05-17 13:00:00,53.581
2020-05-17 14:00:00,50.395
2020-05-17 15:00:00,52.177
2020-05-17 16:00:00,56.195
2020-05-17 17:00:00,55.664
2020-05-17 18:00:00,58.332
2020-05-17 19:00:00,63.243
2020-05-17 20:00:00,63.872
2020-05-17 21:00:00,63.411
2020-05-17 22:00:00,60.085
2020-05-17 23:00:00,67.667
2020-05-18 00:00:00,76.671
2020-05-18 01:00:00,83.786
2020-05-18 02:00:00,86.954
2020-05-18 03:00:00,86.181
2020-05-18 04:00:00,85.783
2020-05-18 05:00:00,83.648
2020-05-18 06:00:00,82.989
2020-05-18 07:00:00,80.138
2020-05-18 08:00:00,77.728
2020-05-18 09:00:00,83.301
2020-05-18 10:00:00,87.269
2020-05-18 11:00:00,87.538
2020-05-18 12:00:00,83.649
2020-05-18 13:00:00,82.019
2020-05-18 14:00:00,82.656
2020-05-18 15:00:00,81.605
2020-05-18 16:00:00,80.252
2020-05-18 17:00:00,80.793
2020-05-18 18:00:00,80.165
2020-05-18 19:00:00,77.560
2020-05-18 20:00:00,77.268
2020-05-18 21:00:00,78.011
2020-05-18 22:00:00,79.271
2020-05-18 23:00:00,61.344
2020-05-19 00:00:00,44.697
2020-05-19 01:00:00,34.342
2020-05-19 02:00:00,29.947
2020-05-19 03:00:00,27.810
2020-05-19 04:00:00,28.065
2020-05-19 05:00:00,32.321
2020-05-19 06:00:00,36.534
2020-05-19 07:00:00,38.955
2020-05-19 08:00:00,39.442
2020-05-19 09:00:00,38.723
2020-05-19 10:00:00,37.255
2020-05-19 11:00:00,36.414
2020-05-19 12:00:00,36.369
2020-05-19 13:00:00,38.277
2020-05-19 14:00:00,43.114
2020-05-19 15:00:00,41.968
2020-05-19 16:00:00,39.771
2020-05-19 17:00:00,38.213
2020-05-19 18:00:00,38.987
2020-05-19 19:00:00,38.208
2020-05-19 20:00:00,39.749
2020-05-19 21:00:00,42.297
2020-05-19 22:00:00,43.151
