Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa]
2020-05-09 03:00:00,0.653333333333333,52.32416666666668,3.2466666666666666,3.4649999999999994,3.5599999999999996,35.77966666666667,1.4223794500000002,42.491166666666665,1.4230747666666668,99336.165
2020-05-09 04:00:00,0.23516666666666675,54.879166666666684,10.068333333333332,11.619999999999996,12.396666666666667,37.430500000000016,1.422317983333333,43.64066666666666,1.4230523166666669,99337.10666666667
2020-05-09 05:00:00,0.04250000000000001,54.95466666666665,11.881666666666666,13.688333333333336,14.781666666666665,36.894499999999994,1.4223158333333334,46.15633333333333,1.4230281833333331,99342.34500000002
2020-05-09 06:00:00,0.7483333333333333,53.91849999999998,7.145000000000006,8.291666666666668,8.931666666666663,38.17766666666668,1.4223377166666666,53.63416666666664,1.4230001333333342,99373.20166666672
2020-05-09 07:00:00,3.8680000000000003,47.13016666666667,0.3333333333333333,0.7633333333333331,0.9199999999999998,38.039333333333346,1.4225508333333334,55.09216666666666,1.4230971166666662,99383.15833333335
2020-05-09 08:00:00,4.924333333333334,46.52366666666668,0.2083333333333333,0.7150000000000002,0.8299999999999993,38.032666666666685,1.42262225,49.812166666666684,1.4231704666666665,99361.26666666668
2020-05-09 09:00:00,6.493666666666666,44.4575,0.6549999999999999,1.0783333333333331,1.211666666666667,38.05433333333333,1.4227276833333333,44.214833333333324,1.4232638833333326,99325.86166666665
2020-05-09 10:00:00,8.752333333333333,39.30783333333334,0.3399999999999999,0.8016666666666665,0.9149999999999996,38.13,1.422878533333333,48.94566666666665,1.4233082333333333,99277.45666666668
2020-05-09 11:00:00,10.60516666666667,33.84283333333333,0.31333333333333335,0.7949999999999998,0.9316666666666666,40.40149999999999,1.4229570333333335,32.45266666666667,1.4234891333333337,99255.01833333334
2020-05-09 12:00:00,8.963333333333333,43.20449999999999,0.32333333333333364,0.7033333333333331,0.8349999999999996,45.35716666666667,1.4227454333333336,31.256333333333334,1.4234409000000006,99327.66166666665
2020-05-09 13:00:00,9.755833333333335,38.12650000000001,0.44500000000000034,0.8266666666666663,0.9299999999999996,38.75683333333335,1.4229335500000002,40.65800000000002,1.4234016500000009,99346.04166666667
2020-05-09 14:00:00,10.687833333333337,33.34,0.006666666666666667,0.15999999999999998,0.24333333333333335,41.213499999999996,1.4229461166666661,31.329500000000014,1.4235000000000002,99371.33999999995
2020-05-09 15:00:00,11.161499999999995,28.371999999999996,0.006666666666666667,0.11166666666666664,0.21999999999999986,48.56666666666667,1.4228274666666674,31.37616666666667,1.423515966666667,99373.76999999999
2020-05-09 16:00:00,9.9215,29.862,0.37000000000000005,0.563333333333333,0.6666666666666661,56.58866666666666,1.4225804833333335,35.039,1.4234471166666671,99410.325
2020-05-09 17:00:00,9.659333333333333,30.944499999999998,0.36000000000000004,0.5000000000000004,0.5383333333333336,55.46833333333335,1.4225857999999998,34.04683333333333,1.4234450666666665,99445.93166666667
2020-05-09 18:00:00,9.101333333333336,32.2985,0.06500000000000003,0.39833333333333343,0.4833333333333335,54.95849999999999,1.4225589666666663,36.17516666666667,1.4234107499999993,99462.56333333337
2020-05-09 19:00:00,8.571666666666665,33.38166666666667,0.2049999999999999,0.6683333333333342,0.8266666666666664,53.86366666666668,1.4225458500000001,36.27716666666666,1.4233917333333332,99477.0083333333
2020-05-09 20:00:00,7.741166666666669,35.17116666666666,0.2466666666666666,0.706666666666667,0.858333333333333,54.34049999999998,1.4224805000000003,38.592166666666664,1.4233465833333334,99536.33166666668
2020-05-09 21:00:00,7.068333333333338,36.70833333333333,0.2349999999999999,0.6633333333333338,0.8216666666666667,51.233666666666664,1.4224986166666662,40.416333333333334,1.4233105000000001,99598.69333333333
2020-05-09 22:00:00,6.341666666666668,38.62449999999999,3.803333333333337,4.554999999999997,4.7816666666666645,48.74716666666665,1.4225003833333336,42.43583333333334,1.4232711833333334,99621.05666666666
2020-05-09 23:00:00,5.494333333333338,42.73950000000001,0.42666666666666675,0.9550000000000008,1.086666666666667,46.514333333333326,1.42248885,42.66916666666667,1.423240449999999,99608.81166666669
2020-05-10 00:00:00,4.851,45.26783333333335,0.5766666666666669,1.1850000000000003,1.3599999999999994,44.18550000000001,1.4224927499999998,44.84766666666668,1.4232028833333337,99624.64166666666
2020-05-10 01:00:00,4.860000000000002,46.354833333333346,1.1683333333333334,1.968333333333333,2.2899999999999996,44.56733333333334,1.4224856333333336,51.93016666666665,1.423153316666667,99646.70333333338
